referee_id,name,city,profile_url,debut_date,season_appearances,season_yellow,season_second_yellow,season_red,season_penalties,source_page
17274,Adnan Deniz Kayatepe,Balikesir,https://www.transfermarkt.com/adnan-deniz-kayatepe/profil/schiedsrichter/17274,16/02/2025,14,66,-,-,5,https://www.transfermarkt.com/super-lig/schiedsrichter/wettbewerb/TR1
32320,Ali Yılmaz,Gaziantep,https://www.transfermarkt.com/ali-yilmaz/profil/schiedsrichter/32320,03/05/2025,15,68,1,1,3,https://www.transfermarkt.com/super-lig/schiedsrichter/wettbewerb/TR1
12426,Ali Şansalan,Canakkale,https://www.transfermarkt.com/ali-sansalan/profil/schiedsrichter/12426,02/06/2017,14,68,1,3,6,https://www.transfermarkt.com/super-lig/schiedsrichter/wettbewerb/TR1
32189,Alper Akarsu,Ankara,https://www.transfermarkt.com/alper-akarsu/profil/schiedsrichter/32189,07/01/2024,11,43,1,1,2,https://www.transfermarkt.com/super-lig/schiedsrichter/wettbewerb/TR1
9930,Arda Kardeşler,Bursa,https://www.transfermarkt.com/arda-kardesler/profil/schiedsrichter/9930,23/04/2016,3,17,-,-,1,https://www.transfermarkt.com/super-lig/schiedsrichter/wettbewerb/TR1
12534,Atilla Karaoğlan,Sakarya,https://www.transfermarkt.com/atilla-karaoglan/profil/schiedsrichter/12534,26/08/2019,11,63,3,2,3,https://www.transfermarkt.com/super-lig/schiedsrichter/wettbewerb/TR1
38142,Batuhan Kolak,Antalya,https://www.transfermarkt.com/batuhan-kolak/profil/schiedsrichter/38142,28/03/2025,9,44,1,1,4,https://www.transfermarkt.com/super-lig/schiedsrichter/wettbewerb/TR1
17012,Cihan Aydın,Bursa,https://www.transfermarkt.com/cihan-aydin/profil/schiedsrichter/17012,14/05/2022,15,58,-,1,3,https://www.transfermarkt.com/super-lig/schiedsrichter/wettbewerb/TR1
27042,Direnç Tonusluoğlu,Izmir,https://www.transfermarkt.com/direnc-tonusluoglu/profil/schiedsrichter/27042,28/01/2023,1,5,-,-,1,https://www.transfermarkt.com/super-lig/schiedsrichter/wettbewerb/TR1
17625,Erdem Mertoğlu,Samsun,https://www.transfermarkt.com/erdem-mertoglu/profil/schiedsrichter/17625,19/10/2025,3,19,-,-,-,https://www.transfermarkt.com/super-lig/schiedsrichter/wettbewerb/TR1
32957,Fatih Tokail,Izmir,https://www.transfermarkt.com/fatih-tokail/profil/schiedsrichter/32957,24/05/2025,1,8,-,1,-,https://www.transfermarkt.com/super-lig/schiedsrichter/wettbewerb/TR1
32165,Gürcan Hasova,Ankara,https://www.transfermarkt.com/gurcan-hasova/profil/schiedsrichter/32165,25/05/2025,1,7,-,-,-,https://www.transfermarkt.com/super-lig/schiedsrichter/wettbewerb/TR1
10014,Halil Umut Meler,Izmir,https://www.transfermarkt.com/halil-umut-meler/profil/schiedsrichter/10014,18/09/2015,13,59,2,2,6,https://www.transfermarkt.com/super-lig/schiedsrichter/wettbewerb/TR1
9806,Kadir Sağlam,Ankara,https://www.transfermarkt.com/kadir-saglam/profil/schiedsrichter/9806,04/02/2022,12,70,-,1,3,https://www.transfermarkt.com/super-lig/schiedsrichter/wettbewerb/TR1
27440,Mehmet Türkmen,Istanbul,https://www.transfermarkt.com/mehmet-turkmen/profil/schiedsrichter/27440,17/02/2024,12,39,-,1,2,https://www.transfermarkt.com/super-lig/schiedsrichter/wettbewerb/TR1
15045,Ozan Ergün,Istanbul,https://www.transfermarkt.com/ozan-ergun/profil/schiedsrichter/15045,16/04/2022,11,47,2,3,2,https://www.transfermarkt.com/super-lig/schiedsrichter/wettbewerb/TR1
27333,Oğuzhan Aksu,Mersin,https://www.transfermarkt.com/oguzhan-aksu/profil/schiedsrichter/27333,24/05/2025,7,18,1,-,-,https://www.transfermarkt.com/super-lig/schiedsrichter/wettbewerb/TR1
37834,Oğuzhan Çakır,Balikesir,https://www.transfermarkt.com/oguzhan-cakir/profil/schiedsrichter/37834,09/01/2024,13,48,2,1,6,https://www.transfermarkt.com/super-lig/schiedsrichter/wettbewerb/TR1
37769,Reşat Onur Coşkunses,Izmir,https://www.transfermarkt.com/resat-onur-coskunses/profil/schiedsrichter/37769,25/01/2026,1,5,-,-,-,https://www.transfermarkt.com/super-lig/schiedsrichter/wettbewerb/TR1/page/2
9968,Yasin Kol,Trabzon,https://www.transfermarkt.com/yasin-kol/profil/schiedsrichter/9968,13/09/2020,14,74,5,2,3,https://www.transfermarkt.com/super-lig/schiedsrichter/wettbewerb/TR1
9934,Yiğit Arslan,Izmir,https://www.transfermarkt.com/yigit-arslan/profil/schiedsrichter/9934,31/01/2023,6,28,-,3,1,https://www.transfermarkt.com/super-lig/schiedsrichter/wettbewerb/TR1
17151,Zorbay Küçük,Adana,https://www.transfermarkt.com/zorbay-kucuk/profil/schiedsrichter/17151,18/05/2018,5,27,-,1,1,https://www.transfermarkt.com/super-lig/schiedsrichter/wettbewerb/TR1
9821,Çağdaş Altay,Istanbul,https://www.transfermarkt.com/cagdas-altay/profil/schiedsrichter/9821,27/02/2022,10,27,1,1,-,https://www.transfermarkt.com/super-lig/schiedsrichter/wettbewerb/TR1
37817,Ömer Faruk Turtay,Antalya,https://www.transfermarkt.com/omer-faruk-turtay/profil/schiedsrichter/37817,13/01/2024,2,5,-,-,-,https://www.transfermarkt.com/super-lig/schiedsrichter/wettbewerb/TR1
12719,Ömer Tolga Güldibi,Kocaeli,https://www.transfermarkt.com/omer-tolga-guldibi/profil/schiedsrichter/12719,15/09/2024,7,38,-,-,1,https://www.transfermarkt.com/super-lig/schiedsrichter/wettbewerb/TR1
9552,Ümit Öztürk,Denizli,https://www.transfermarkt.com/umit-ozturk/profil/schiedsrichter/9552,02/10/2015,5,22,1,-,2,https://www.transfermarkt.com/super-lig/schiedsrichter/wettbewerb/TR1
