referee_name,matches,yellow_total,red_direct,second_yellow_red,penalty_goals,yellow_per_match,red_events_per_match,penalty_per_match,severity_per_match
CİHAN AYDIN,30,103,2,2,6,3.433,0.133,0.2,3.7
ATİLLA KARAOĞLAN,29,181,3,5,13,6.241,0.276,0.448,6.793
KADİR SAĞLAM,27,158,3,6,10,5.852,0.333,0.37,6.519
ALİ ŞANSALAN,24,104,2,2,5,4.333,0.167,0.208,4.667
HALİL UMUT MELER,24,108,5,5,8,4.5,0.417,0.333,5.333
ZORBAY KÜÇÜK,22,104,3,3,7,4.727,0.273,0.318,5.273
MEHMET TÜRKMEN,19,53,2,3,4,2.789,0.263,0.211,3.316
OZAN ERGÜN,19,94,2,0,4,4.947,0.105,0.211,5.158
OĞUZHAN ÇAKIR,19,75,2,2,4,3.947,0.211,0.211,4.368
ÇAĞDAŞ ALTAY,18,56,2,1,5,3.111,0.167,0.278,3.444
ALPER AKARSU,15,59,2,1,3,3.933,0.2,0.2,4.333
YASİN KOL,14,88,6,2,4,6.286,0.571,0.286,7.429
BURAK PAKKAN,13,77,4,3,2,5.923,0.538,0.154,7.0
DİRENÇ TONUSLUOĞLU,13,60,2,0,2,4.615,0.154,0.154,4.923
ÜMİT ÖZTÜRK,13,53,0,1,3,4.077,0.077,0.231,4.231
MUHAMMET ALİ METOĞLU,11,68,2,2,2,6.182,0.364,0.182,6.909
TURGUT DOMAN,11,37,0,0,2,3.364,0.0,0.182,3.364
ADNAN DENİZ KAYATEPE,8,45,0,1,3,5.625,0.125,0.375,5.875
ALİ YILMAZ,8,27,0,1,1,3.375,0.125,0.125,3.625
BATUHAN KOLAK,8,42,1,1,0,5.25,0.25,0.0,5.75
YİĞİT ARSLAN,6,29,4,0,2,4.833,0.667,0.333,6.167
ÖMER TOLGA GÜLDİBİ,5,31,0,0,1,6.2,0.0,0.2,6.2
